Message id, Time, Sender Port, Receiver Port,,
Failed, to, launch,53,,
V�V��&U�V�,1706092949373,68,67,,
W�V��&U�V�,1706092953283,68,67,,
X�V��&U�V�,1706092961357,68,67,,
Y�V� �&U�V�,1706092977449,68,67,,
b9e1d0ec-6bd0-4388-832a-df61a887b9f0,1706092980556,43681,30305,,
24d33229-1ad1-432e-bb01-06182b22d7f7,1706092980970,43682,44096,,
ad83d33d-87e7-4db9-a041-be70b5860922,1706092981466,43683,16581,,
3c01696c-ddff-406d-a33d-e627b168724c,1706092981986,43684,25527,,
28b9f051-2f4a-4a07-b94b-2481fb4efe31,1706092982492,43685,20386,,
73496f9c-c8ea-4f37-997f-eb3af822dc72,1706092982986,43686,21677,,
53967c50-8830-446b-a287-b8be6bccce5b,1706092983506,43687,44405,,
31a778e6-eb53-466a-8b26-6baff0c29458,1706092984010,43688,39681,,
64d6027e-c3dd-4101-a1b4-f627ea2ad07c,1706092984531,43689,8851,,
53802999-2498-481b-bd7a-d8e4f08ac452,1706092985010,43690,31237,,
9189b2c6-a7ca-4d73-9ede-45a567394e36,1706092985530,43691,53934,,
636511dd-e5a5-4982-a427-8208a9e3cea3,1706092986043,43692,30012,,
c13f8689-b503-408d-ad38-7f0690c7cacb,1706092986515,43693,19877,,
d2aa2d82-3e3e-4dee-9f74-ace67ae0c550,1706092987035,43694,24597,,
eb33d8ed-8079-4b74-9147-d4658c4729d9,1706092987530,43695,29721,,
e40343e2-aa99-43ef-b8de-29c597b4bc51,1706092988050,43696,9857,,
1b947c49-d953-4881-bf98-e7f069546381,1706092988546,43697,17593,,
2207ffe0-b387-4d50-bf28-3c3b672b387f,1706092989050,43698,29828,,
4f914834-015e-4cee-adf1-658edaa1fe87,1706092989546,43699,39423,,
8a69d2d6-aba7-4329-8ca2-ce043631f28d,1706092990050,43700,59524,,
5fed9709-b16d-4ca7-b993-fe342ab634f9,1706092990570,43701,59441,,
0ec2366c-b826-4fda-bad1-bb03b5e1edbb,1706092991066,43702,52093,,
5332c12a-550b-493c-b403-639485709da9,1706092991579,43703,56376,,
7f9601b4-c295-4783-86e3-c9dfd45e0c27,1706092992091,43704,28774,,
e38d55cc-3099-4357-933d-0fa8e3cb7d42,1706092992570,43705,29302,,
c5fef8e8-f1f3-4fee-8293-f77ae2ce7eb8,1706092993066,43706,61652,,
dd8857c8-e868-4270-b5d7-8ff7f8830fa0,1706092993586,43707,65394,,
2bfe8159-8d7f-4dd2-be00-8df6b064d72a,1706092994090,43708,19432,,
f73d90f7-dadd-43ac-9c30-1cbfee367e8d,1706092994587,43709,43757,,
12104fa5-6fbe-4947-bbc1-f49cb3c55187,1706092995091,43710,19970,,
d2141ec4-4d21-4f34-98b2-781d247acb2d,1706092995610,43711,55690,,
81d25c22-9b2a-46cf-8615-7cceede3ec98,1706092996091,43712,15767,,
003143bd-2762-49ca-9608-c2eb1727520e,1706092996586,43713,43537,,
c45a499c-ecf1-418a-851e-dbe6517e9087,1706092997106,43714,30682,,
0c488713-bef7-4cff-baf2-dfe15c34b33c,1706092997610,43715,17618,,
c4a899b2-82fe-482b-99fd-4a4bc338ee86,1706092998131,43716,44804,,
ef1f4afc-7c38-4267-a9c8-423b8abca8a6,1706092998626,43717,62439,,
4d8d45f7-6607-4140-bf80-c4a102487265,1706092999106,43718,51200,,
77f833eb-5a7a-43f0-9843-18eb927981ea,1706092999634,43719,36720,,
824117a3-aa6a-49d6-94e1-081142f7753a,1706093000126,43720,49926,,
b800985e-6f5b-4677-9010-f729bc1baefb,1706093000646,43721,32992,,
996b113b-f979-4aeb-a5cd-20a319d2868e,1706093001146,43722,26099,,
065fa79c-b60e-4c54-ac63-70e650766b89,1706093001647,43723,366,,
bb27f5b4-b7bc-4642-bc13-e72c6a3c8b1b,1706093002146,43724,7035,,
d64deaa4-e1bf-4be4-bd8c-cdce91a79421,1706093002651,43725,36147,,
5dcdd180-27c9-4f03-907a-0ce24dad8075,1706093003146,43726,7459,,
579ec307-460c-4f2a-9841-6366eb7819f6,1706093003666,43727,3662,,
3a377f5b-7566-45b9-9eaf-640c569c4407,1706093004166,43728,51428,,
351ebbad-126c-4783-90df-6c0744964dad,1706093004667,43729,17898,,
f9829b25-a315-4014-92ac-a49d53991436,1706093005170,43730,39363,,
1d125bb3-324b-4ae2-a277-d029e9459a9d,1706093005687,43731,32496,,
ffb85d99-6942-4fe0-8772-b80aada37130,1706093006187,43732,24128,,
426d781b-3264-47ed-9217-765f07d1c0bf,1706093006686,43733,49642,,
10bd91c9-dfd3-4723-8549-cdd4295d8304,1706093007187,43734,63524,,
5bf5aeea-a4dc-4db3-a2e8-f85adba9e938,1706093007715,43735,15114,,
c470ca57-ab6e-480d-abe8-e99113577501,1706093008207,43736,48750,,
d54ac2fc-b8c6-43aa-b396-b45e1c79270e,1706093008707,43737,56316,,
ba1170f5-93e4-474d-acb0-d746b1316ac7,1706093009206,43738,44534,,
Z�V�@�&U�V�,1706093009525,68,67,,
61276b6a-8349-40ee-bbd5-ee1cb52557a1,1706093009706,43739,24629,,
be9e6109-4e1e-45e5-a905-1c8667f21586,1706093010227,43740,23676,,
5e706715-d291-45db-acfa-8d1b4df76e2b,1706093010726,43741,23034,,
7c3aae89-b5ac-49ce-8410-e471c3fd3d49,1706093011250,43742,63164,,
5b5c1909-1b25-450c-b13e-8b4848e09638,1706093011746,43743,60254,,
8ecc8780-37cb-4f32-b36a-3d270d554b2d,1706093012246,43744,15309,,
59e90b94-9f2a-4d97-bd00-37be2771db1d,1706093012746,43745,1409,,
e8a010cf-b7a7-42c4-b61b-92dba0fd9f46,1706093013247,43746,36993,,
da7ad500-6708-481d-bfee-c93258583a56,1706093013766,43747,126,,
4629a5d8-0ba9-4b17-8306-e5b55fd6d423,1706093014266,43748,49932,,
a9b373fa-5ab9-4a02-89b6-79069f945594,1706093014766,43749,33029,,
a52fe715-cef5-4774-b94e-11e78f3d2a8a,1706093015286,43750,61169,,
6f57951a-41b6-4e10-a1b5-c2ec57787aff,1706093015786,43751,28362,,
5908cd32-b429-43a9-bff2-9e9e8d842584,1706093016266,43752,60754,,
4dbcf50c-ff4b-4e7e-943a-3e7a619d8dee,1706093016786,43753,19920,,
